filename,mask_filename,subset,status,time_seconds,output_path
DIS-TE1_21#Tool#3#Clock#44011819935_378fff21aa_o.jpg,DIS-TE1_21#Tool#3#Clock#44011819935_378fff21aa_o.png,DIS-TE1,success,0.017,..\results\watershed\DIS-TE1_21#Tool#3#Clock#44011819935_378fff21aa_o.png
DIS-TE1_10#Frame#5#Rack#IMG_20210518_194409.jpg,DIS-TE1_10#Frame#5#Rack#IMG_20210518_194409.png,DIS-TE1,success,0.013,..\results\watershed\DIS-TE1_10#Frame#5#Rack#IMG_20210518_194409.png
DIS-TE1_1#Accessories#3#Eyeglasses#3530574307_5df2551eb7_o.jpg,DIS-TE1_1#Accessories#3#Eyeglasses#3530574307_5df2551eb7_o.png,DIS-TE1,success,0.01,..\results\watershed\DIS-TE1_1#Accessories#3#Eyeglasses#3530574307_5df2551eb7_o.png
DIS-TE1_4#Architecture#11#Pipe#8973269623_35653a2ac4_o.jpg,DIS-TE1_4#Architecture#11#Pipe#8973269623_35653a2ac4_o.png,DIS-TE1,success,0.002,..\results\watershed\DIS-TE1_4#Architecture#11#Pipe#8973269623_35653a2ac4_o.png
DIS-TE1_11#Furniture#9#Easel#41350193222_e3b44174b9_o.jpg,DIS-TE1_11#Furniture#9#Easel#41350193222_e3b44174b9_o.png,DIS-TE1,success,0.013,..\results\watershed\DIS-TE1_11#Furniture#9#Easel#41350193222_e3b44174b9_o.png
DIS-TE1_11#Furniture#4#Chair#2886460384_ea259fb70f_o.jpg,DIS-TE1_11#Furniture#4#Chair#2886460384_ea259fb70f_o.png,DIS-TE1,success,0.009,..\results\watershed\DIS-TE1_11#Furniture#4#Chair#2886460384_ea259fb70f_o.png
DIS-TE1_11#Furniture#2#Bench#22653754305_7d7153fb50_o.jpg,DIS-TE1_11#Furniture#2#Bench#22653754305_7d7153fb50_o.png,DIS-TE1,success,0.001,..\results\watershed\DIS-TE1_11#Furniture#2#Bench#22653754305_7d7153fb50_o.png
DIS-TE1_11#Furniture#11#Handrail#IMG_20210708_192009.jpg,DIS-TE1_11#Furniture#11#Handrail#IMG_20210708_192009.png,DIS-TE1,success,0.02,..\results\watershed\DIS-TE1_11#Furniture#11#Handrail#IMG_20210708_192009.png
DIS-TE1_4#Architecture#11#Pipe#7124946891_03a3a2a283_o.jpg,DIS-TE1_4#Architecture#11#Pipe#7124946891_03a3a2a283_o.png,DIS-TE1,success,0.018,..\results\watershed\DIS-TE1_4#Architecture#11#Pipe#7124946891_03a3a2a283_o.png
DIS-TE1_10#Frame#5#Rack#2634130269_9e5e22af7e_o.jpg,DIS-TE1_10#Frame#5#Rack#2634130269_9e5e22af7e_o.png,DIS-TE1,success,0.005,..\results\watershed\DIS-TE1_10#Frame#5#Rack#2634130269_9e5e22af7e_o.png
DIS-TE1_21#Tool#7#Rope#26572625450_eaa2890642_o.jpg,DIS-TE1_21#Tool#7#Rope#26572625450_eaa2890642_o.png,DIS-TE1,success,0.015,..\results\watershed\DIS-TE1_21#Tool#7#Rope#26572625450_eaa2890642_o.png
DIS-TE1_7#Electrical#6#StreetLamp#23699457914_e1c4269036_o.jpg,DIS-TE1_7#Electrical#6#StreetLamp#23699457914_e1c4269036_o.png,DIS-TE1,success,0.013,..\results\watershed\DIS-TE1_7#Electrical#6#StreetLamp#23699457914_e1c4269036_o.png
DIS-TE1_21#Tool#1#Axe#45673228154_7c1bc976f3_o.jpg,DIS-TE1_21#Tool#1#Axe#45673228154_7c1bc976f3_o.png,DIS-TE1,success,0.005,..\results\watershed\DIS-TE1_21#Tool#1#Axe#45673228154_7c1bc976f3_o.png
DIS-TE1_10#Frame#3#BicycleStand#5279788922_16b4cca5bb_o.jpg,DIS-TE1_10#Frame#3#BicycleStand#5279788922_16b4cca5bb_o.png,DIS-TE1,success,0.009,..\results\watershed\DIS-TE1_10#Frame#3#BicycleStand#5279788922_16b4cca5bb_o.png
DIS-TE1_21#Tool#14#Sword#425635285_5d2e0670bf_o.jpg,DIS-TE1_21#Tool#14#Sword#425635285_5d2e0670bf_o.png,DIS-TE1,success,0.012,..\results\watershed\DIS-TE1_21#Tool#14#Sword#425635285_5d2e0670bf_o.png
DIS-TE1_16#Music Instrument#8#Violin#38809677390_e68798ed57_o.jpg,DIS-TE1_16#Music Instrument#8#Violin#38809677390_e68798ed57_o.png,DIS-TE1,success,0.011,..\results\watershed\DIS-TE1_16#Music Instrument#8#Violin#38809677390_e68798ed57_o.png
DIS-TE1_1#Accessories#3#Eyeglasses#47958244331_9e28e009c1_o.jpg,DIS-TE1_1#Accessories#3#Eyeglasses#47958244331_9e28e009c1_o.png,DIS-TE1,success,0.011,..\results\watershed\DIS-TE1_1#Accessories#3#Eyeglasses#47958244331_9e28e009c1_o.png
DIS-TE1_1#Accessories#3#Eyeglasses#4714861082_d837a5be81_o.jpg,DIS-TE1_1#Accessories#3#Eyeglasses#4714861082_d837a5be81_o.png,DIS-TE1,success,0.01,..\results\watershed\DIS-TE1_1#Accessories#3#Eyeglasses#4714861082_d837a5be81_o.png
DIS-TE1_10#Frame#5#Rack#13592685465_7334ced235_o.jpg,DIS-TE1_10#Frame#5#Rack#13592685465_7334ced235_o.png,DIS-TE1,success,0.01,..\results\watershed\DIS-TE1_10#Frame#5#Rack#13592685465_7334ced235_o.png
DIS-TE1_11#Furniture#19#Shower#8325346891_097877fcaf_o.jpg,DIS-TE1_11#Furniture#19#Shower#8325346891_097877fcaf_o.png,DIS-TE1,success,0.013,..\results\watershed\DIS-TE1_11#Furniture#19#Shower#8325346891_097877fcaf_o.png
DIS-TE2_13#Insect#11#Spider#31603036612_f9d40e3fd4_o.jpg,DIS-TE2_13#Insect#11#Spider#31603036612_f9d40e3fd4_o.png,DIS-TE2,success,0.017,..\results\watershed\DIS-TE2_13#Insect#11#Spider#31603036612_f9d40e3fd4_o.png
DIS-TE2_21#Tool#16#Telescope#23291975033_085c6044e2_o.jpg,DIS-TE2_21#Tool#16#Telescope#23291975033_085c6044e2_o.png,DIS-TE2,success,0.016,..\results\watershed\DIS-TE2_21#Tool#16#Telescope#23291975033_085c6044e2_o.png
DIS-TE2_22#Weapon#3#Missile#3645658466_453cc98d0d_o.jpg,DIS-TE2_22#Weapon#3#Missile#3645658466_453cc98d0d_o.png,DIS-TE2,success,0.016,..\results\watershed\DIS-TE2_22#Weapon#3#Missile#3645658466_453cc98d0d_o.png
DIS-TE2_1#Accessories#5#Jewelry#3944541216_066490edff_o.jpg,DIS-TE2_1#Accessories#5#Jewelry#3944541216_066490edff_o.png,DIS-TE2,success,0.017,..\results\watershed\DIS-TE2_1#Accessories#5#Jewelry#3944541216_066490edff_o.png
DIS-TE2_21#Tool#6#Key#2168174621_5443134212_o.jpg,DIS-TE2_21#Tool#6#Key#2168174621_5443134212_o.png,DIS-TE2,success,0.0,..\results\watershed\DIS-TE2_21#Tool#6#Key#2168174621_5443134212_o.png
DIS-TE2_11#Furniture#8#DeskChair#4060650962_3a3f8c883f_o.jpg,DIS-TE2_11#Furniture#8#DeskChair#4060650962_3a3f8c883f_o.png,DIS-TE2,success,0.019,..\results\watershed\DIS-TE2_11#Furniture#8#DeskChair#4060650962_3a3f8c883f_o.png
DIS-TE2_4#Architecture#3#Crack#14415831884_11aa8657fc_o.jpg,DIS-TE2_4#Architecture#3#Crack#14415831884_11aa8657fc_o.png,DIS-TE2,success,0.02,..\results\watershed\DIS-TE2_4#Architecture#3#Crack#14415831884_11aa8657fc_o.png
DIS-TE2_4#Architecture#10#Pavilion#2229916369_690c320b94_o.jpg,DIS-TE2_4#Architecture#10#Pavilion#2229916369_690c320b94_o.png,DIS-TE2,success,0.012,..\results\watershed\DIS-TE2_4#Architecture#10#Pavilion#2229916369_690c320b94_o.png
DIS-TE2_4#Architecture#13#Sculpture#92242078_b8f7377fed_o.jpg,DIS-TE2_4#Architecture#13#Sculpture#92242078_b8f7377fed_o.png,DIS-TE2,success,0.016,..\results\watershed\DIS-TE2_4#Architecture#13#Sculpture#92242078_b8f7377fed_o.png
DIS-TE2_21#Tool#4#Flag#10658256784_eb43a48829_o.jpg,DIS-TE2_21#Tool#4#Flag#10658256784_eb43a48829_o.png,DIS-TE2,success,0.015,..\results\watershed\DIS-TE2_21#Tool#4#Flag#10658256784_eb43a48829_o.png
DIS-TE2_2#Aircraft#3#HangGlider#6165144967_31de274f6e_o.jpg,DIS-TE2_2#Aircraft#3#HangGlider#6165144967_31de274f6e_o.png,DIS-TE2,success,0.016,..\results\watershed\DIS-TE2_2#Aircraft#3#HangGlider#6165144967_31de274f6e_o.png
DIS-TE2_13#Insect#1#Ant#7757229062_264b5952d7_o.jpg,DIS-TE2_13#Insect#1#Ant#7757229062_264b5952d7_o.png,DIS-TE2,success,0.017,..\results\watershed\DIS-TE2_13#Insect#1#Ant#7757229062_264b5952d7_o.png
DIS-TE2_20#Sports#13#UnevenBars#19709805936_8508bd498b_o.jpg,DIS-TE2_20#Sports#13#UnevenBars#19709805936_8508bd498b_o.png,DIS-TE2,success,0.012,..\results\watershed\DIS-TE2_20#Sports#13#UnevenBars#19709805936_8508bd498b_o.png
DIS-TE2_22#Weapon#1#Cannon#48642016533_c581a87752_o.jpg,DIS-TE2_22#Weapon#1#Cannon#48642016533_c581a87752_o.png,DIS-TE2,success,0.011,..\results\watershed\DIS-TE2_22#Weapon#1#Cannon#48642016533_c581a87752_o.png
DIS-TE2_14#Kitchenware#3#Hydrovalve#15824455560_61c9ba2f26_o.jpg,DIS-TE2_14#Kitchenware#3#Hydrovalve#15824455560_61c9ba2f26_o.png,DIS-TE2,success,0.0,..\results\watershed\DIS-TE2_14#Kitchenware#3#Hydrovalve#15824455560_61c9ba2f26_o.png
DIS-TE2_6#Automobile#12#Truck#5372551890_63bf180050_o.jpg,DIS-TE2_6#Automobile#12#Truck#5372551890_63bf180050_o.png,DIS-TE2,success,0.002,..\results\watershed\DIS-TE2_6#Automobile#12#Truck#5372551890_63bf180050_o.png
DIS-TE2_7#Electrical#1#Cable#26260356224_166e350c44_o.jpg,DIS-TE2_7#Electrical#1#Cable#26260356224_166e350c44_o.png,DIS-TE2,success,0.0,..\results\watershed\DIS-TE2_7#Electrical#1#Cable#26260356224_166e350c44_o.png
DIS-TE2_1#Accessories#2#Clothes#255295964_23f786f413_o.jpg,DIS-TE2_1#Accessories#2#Clothes#255295964_23f786f413_o.png,DIS-TE2,success,0.014,..\results\watershed\DIS-TE2_1#Accessories#2#Clothes#255295964_23f786f413_o.png
DIS-TE2_5#Artifact#3#Handcraft#175491592_4b9360e313_o.jpg,DIS-TE2_5#Artifact#3#Handcraft#175491592_4b9360e313_o.png,DIS-TE2,success,0.011,..\results\watershed\DIS-TE2_5#Artifact#3#Handcraft#175491592_4b9360e313_o.png
DIS-TE2_6#Automobile#12#Truck#2278142076_0a4dffcde6_o.jpg,DIS-TE2_6#Automobile#12#Truck#2278142076_0a4dffcde6_o.png,DIS-TE2,success,0.015,..\results\watershed\DIS-TE2_6#Automobile#12#Truck#2278142076_0a4dffcde6_o.png
DIS-TE3_11#Furniture#4#Chair#8404438172_390cbb75c7_o.jpg,DIS-TE3_11#Furniture#4#Chair#8404438172_390cbb75c7_o.png,DIS-TE3,success,0.011,..\results\watershed\DIS-TE3_11#Furniture#4#Chair#8404438172_390cbb75c7_o.png
DIS-TE3_4#Architecture#4#Fence#36518063870_7cf8df35bc_o.jpg,DIS-TE3_4#Architecture#4#Fence#36518063870_7cf8df35bc_o.png,DIS-TE3,success,0.009,..\results\watershed\DIS-TE3_4#Architecture#4#Fence#36518063870_7cf8df35bc_o.png
DIS-TE3_2#Aircraft#6#Parachute#35328719541_69fb5a35cd_o.jpg,DIS-TE3_2#Aircraft#6#Parachute#35328719541_69fb5a35cd_o.png,DIS-TE3,success,0.014,..\results\watershed\DIS-TE3_2#Aircraft#6#Parachute#35328719541_69fb5a35cd_o.png
DIS-TE3_17#Non-motor Vehicle#4#Cart#4776627829_94699a02a5_o.jpg,DIS-TE3_17#Non-motor Vehicle#4#Cart#4776627829_94699a02a5_o.png,DIS-TE3,success,0.012,..\results\watershed\DIS-TE3_17#Non-motor Vehicle#4#Cart#4776627829_94699a02a5_o.png
DIS-TE3_16#Music Instrument#2#Harp#8648276354_31c25ec1b9_o.jpg,DIS-TE3_16#Music Instrument#2#Harp#8648276354_31c25ec1b9_o.png,DIS-TE3,success,0.016,..\results\watershed\DIS-TE3_16#Music Instrument#2#Harp#8648276354_31c25ec1b9_o.png
DIS-TE3_11#Furniture#4#Chair#6130143793_ca6de939a2_o.jpg,DIS-TE3_11#Furniture#4#Chair#6130143793_ca6de939a2_o.png,DIS-TE3,success,0.015,..\results\watershed\DIS-TE3_11#Furniture#4#Chair#6130143793_ca6de939a2_o.png
DIS-TE3_13#Insect#5#Caterpillar#8750252152_caebe61154_o.jpg,DIS-TE3_13#Insect#5#Caterpillar#8750252152_caebe61154_o.png,DIS-TE3,success,0.009,..\results\watershed\DIS-TE3_13#Insect#5#Caterpillar#8750252152_caebe61154_o.png
DIS-TE3_9#Entertainment#2#KidsPlayground#25253174772_1272085ef1_o.jpg,DIS-TE3_9#Entertainment#2#KidsPlayground#25253174772_1272085ef1_o.png,DIS-TE3,success,0.01,..\results\watershed\DIS-TE3_9#Entertainment#2#KidsPlayground#25253174772_1272085ef1_o.png
DIS-TE3_5#Artifact#3#Handcraft#322094666_d6f5021446_o.jpg,DIS-TE3_5#Artifact#3#Handcraft#322094666_d6f5021446_o.png,DIS-TE3,success,0.004,..\results\watershed\DIS-TE3_5#Artifact#3#Handcraft#322094666_d6f5021446_o.png
DIS-TE3_17#Non-motor Vehicle#4#Cart#2796631984_bdb7bd9278_o.jpg,DIS-TE3_17#Non-motor Vehicle#4#Cart#2796631984_bdb7bd9278_o.png,DIS-TE3,success,0.022,..\results\watershed\DIS-TE3_17#Non-motor Vehicle#4#Cart#2796631984_bdb7bd9278_o.png
DIS-TE3_11#Furniture#18#TableChair#4094510004_af283e6dd3_o.jpg,DIS-TE3_11#Furniture#18#TableChair#4094510004_af283e6dd3_o.png,DIS-TE3,success,0.009,..\results\watershed\DIS-TE3_11#Furniture#18#TableChair#4094510004_af283e6dd3_o.png
DIS-TE3_11#Furniture#18#TableChair#28678093464_23e92d78fb_o.jpg,DIS-TE3_11#Furniture#18#TableChair#28678093464_23e92d78fb_o.png,DIS-TE3,success,0.01,..\results\watershed\DIS-TE3_11#Furniture#18#TableChair#28678093464_23e92d78fb_o.png
DIS-TE3_19#Ship#6#Yacht#41825259124_669e30b61d_o.jpg,DIS-TE3_19#Ship#6#Yacht#41825259124_669e30b61d_o.png,DIS-TE3,success,0.007,..\results\watershed\DIS-TE3_19#Ship#6#Yacht#41825259124_669e30b61d_o.png
DIS-TE3_11#Furniture#18#TableChair#3518100388_54ea475248_o.jpg,DIS-TE3_11#Furniture#18#TableChair#3518100388_54ea475248_o.png,DIS-TE3,success,0.001,..\results\watershed\DIS-TE3_11#Furniture#18#TableChair#3518100388_54ea475248_o.png
DIS-TE3_17#Non-motor Vehicle#8#Scooter#286182579_2c977c13b8_o.jpg,DIS-TE3_17#Non-motor Vehicle#8#Scooter#286182579_2c977c13b8_o.png,DIS-TE3,success,0.023,..\results\watershed\DIS-TE3_17#Non-motor Vehicle#8#Scooter#286182579_2c977c13b8_o.png
DIS-TE3_6#Automobile#6#Excavator#422993_b61a5276f5_o.jpg,DIS-TE3_6#Automobile#6#Excavator#422993_b61a5276f5_o.png,DIS-TE3,success,0.009,..\results\watershed\DIS-TE3_6#Automobile#6#Excavator#422993_b61a5276f5_o.png
DIS-TE3_17#Non-motor Vehicle#4#Cart#IMG_20210512_194551.jpg,DIS-TE3_17#Non-motor Vehicle#4#Cart#IMG_20210512_194551.png,DIS-TE3,success,0.008,..\results\watershed\DIS-TE3_17#Non-motor Vehicle#4#Cart#IMG_20210512_194551.png
DIS-TE3_3#Aquatic#5#Shrimp#48272089916_458f339eb2_o.jpg,DIS-TE3_3#Aquatic#5#Shrimp#48272089916_458f339eb2_o.png,DIS-TE3,success,0.008,..\results\watershed\DIS-TE3_3#Aquatic#5#Shrimp#48272089916_458f339eb2_o.png
DIS-TE3_16#Music Instrument#1#Drum#2568563453_d2b5cfd55a_o.jpg,DIS-TE3_16#Music Instrument#1#Drum#2568563453_d2b5cfd55a_o.png,DIS-TE3,success,0.01,..\results\watershed\DIS-TE3_16#Music Instrument#1#Drum#2568563453_d2b5cfd55a_o.png
DIS-TE3_6#Automobile#3#Car#12335112913_f74e1c7eac_o.jpg,DIS-TE3_6#Automobile#3#Car#12335112913_f74e1c7eac_o.png,DIS-TE3,success,0.012,..\results\watershed\DIS-TE3_6#Automobile#3#Car#12335112913_f74e1c7eac_o.png
DIS-TE4_10#Frame#6#Skeleton#33795808900_30d604e615_o.jpg,DIS-TE4_10#Frame#6#Skeleton#33795808900_30d604e615_o.png,DIS-TE4,success,0.01,..\results\watershed\DIS-TE4_10#Frame#6#Skeleton#33795808900_30d604e615_o.png
DIS-TE4_5#Artifact#2#Cage#33940015612_8a6ae4b440_o.jpg,DIS-TE4_5#Artifact#2#Cage#33940015612_8a6ae4b440_o.png,DIS-TE4,success,0.012,..\results\watershed\DIS-TE4_5#Artifact#2#Cage#33940015612_8a6ae4b440_o.png
DIS-TE4_21#Tool#17#Tripod#6882032659_4edefe231c_o.jpg,DIS-TE4_21#Tool#17#Tripod#6882032659_4edefe231c_o.png,DIS-TE4,success,0.011,..\results\watershed\DIS-TE4_21#Tool#17#Tripod#6882032659_4edefe231c_o.png
DIS-TE4_4#Architecture#12#Scaffold#29128730448_f25f556540_o.jpg,DIS-TE4_4#Architecture#12#Scaffold#29128730448_f25f556540_o.png,DIS-TE4,success,0.013,..\results\watershed\DIS-TE4_4#Architecture#12#Scaffold#29128730448_f25f556540_o.png
DIS-TE4_11#Furniture#6#DentalChair#23198511506_f49d3df71d_o.jpg,DIS-TE4_11#Furniture#6#DentalChair#23198511506_f49d3df71d_o.png,DIS-TE4,success,0.012,..\results\watershed\DIS-TE4_11#Furniture#6#DentalChair#23198511506_f49d3df71d_o.png
DIS-TE4_9#Entertainment#6#Trampoline#3548411507_6d5e2e9e30_o.jpg,DIS-TE4_9#Entertainment#6#Trampoline#3548411507_6d5e2e9e30_o.png,DIS-TE4,success,0.009,..\results\watershed\DIS-TE4_9#Entertainment#6#Trampoline#3548411507_6d5e2e9e30_o.png
DIS-TE4_9#Entertainment#1#GymEquipment#18249124911_bf50d4872a_o.jpg,DIS-TE4_9#Entertainment#1#GymEquipment#18249124911_bf50d4872a_o.png,DIS-TE4,success,0.012,..\results\watershed\DIS-TE4_9#Entertainment#1#GymEquipment#18249124911_bf50d4872a_o.png
DIS-TE4_2#Aircraft#4#Helicopter#36410220685_1b403e5976_o.jpg,DIS-TE4_2#Aircraft#4#Helicopter#36410220685_1b403e5976_o.png,DIS-TE4,success,0.011,..\results\watershed\DIS-TE4_2#Aircraft#4#Helicopter#36410220685_1b403e5976_o.png
DIS-TE4_11#Furniture#17#Table#12606756403_6e21720274_o.jpg,DIS-TE4_11#Furniture#17#Table#12606756403_6e21720274_o.png,DIS-TE4,success,0.009,..\results\watershed\DIS-TE4_11#Furniture#17#Table#12606756403_6e21720274_o.png
DIS-TE4_4#Architecture#13#Sculpture#27772393934_5c143aa302_o.jpg,DIS-TE4_4#Architecture#13#Sculpture#27772393934_5c143aa302_o.png,DIS-TE4,success,0.014,..\results\watershed\DIS-TE4_4#Architecture#13#Sculpture#27772393934_5c143aa302_o.png
DIS-TE4_17#Non-motor Vehicle#9#ShoppingCart#32618595578_ba0e9e2742_o.jpg,DIS-TE4_17#Non-motor Vehicle#9#ShoppingCart#32618595578_ba0e9e2742_o.png,DIS-TE4,success,0.007,..\results\watershed\DIS-TE4_17#Non-motor Vehicle#9#ShoppingCart#32618595578_ba0e9e2742_o.png
DIS-TE4_7#Electrical#10#UtilityPole#22289057894_5ab949934c_o.jpg,DIS-TE4_7#Electrical#10#UtilityPole#22289057894_5ab949934c_o.png,DIS-TE4,success,0.006,..\results\watershed\DIS-TE4_7#Electrical#10#UtilityPole#22289057894_5ab949934c_o.png
